data_boletim;casos_novos;confirmacoes_total;total_mortes;mortes_suspeitas;aguardando_resultado;curados;negativos;notificados;vagas_uti_HE;vagas_uti_HE_ocupadas;vagas_uti_regiao;vagas_uti_regiao_ocupadas;mortes_espera_uti
11/01/2022;157;61185;1244;2;534;59105;118558;180277;10;10;103;32;
12/01/2022;88;61273;1244;2;585;;119165;181023;10;10;103;32;
13/01/2022;154;61427;1244;0;234;;119923;181584;10;8;103;35;
14/01/2022;465;61891;1245;4;828;59415;120452;183171;10;9;103;36;
17/01/2022;824;62715;1247;3;417;;121399;184531;10;10;103;37;
18/01/2022;264;62979;1251;1;441;59745;121662;185082;10;10;103;48;
19/01/2022;374;63353;1252;2;292;59812;122103;185748;10;10;103;48;
20/01/2022;701;64054;1256;2;684;59928;122653;187391;10;9;91;49;
21/01/2022;204;64258;1256;2;1362;;122837;188457;10;10;103;56;
24/01/2022;396;64654;1261;3;2010;60106;123103;189767;10;10;103;56;
25/01/2022;765;65419;1263;12;716;60215;123375;189510;10;10;103;68;
26/01/2022;687;66106;1268;9;909;60310;123862;190877;10;10;103;70;
27/01/2022;569;66675;1276;9;651;60510;124038;191354;10;10;103;68;
28/01/2022;530;67205;1284;9;292;61315;124306;191803;10;10;103;70;
31/01/2022;1319;68524;1292;7;349;61415;125141;194014;10;10;103;68;
01/02/2022;735;69259;1300;9;288;61524;125551;195098;10;10;103;89;
02/02/2022;613;69872;1309;3;207;61598;125962;196041;10;10;103;89;
03/02/2022;713;70585;1316;3;155;61610;126332;197072;10;10;103;95;
04/02/2022;467;71052;1319;1;162;61678;126732;197946;10;10;112;87;
07/02/2022;862;71914;1326;6;146;61725;127327;199387;10;10;112;89;
08/02/2022;450;72364;1331;5;52;61791;127730;200146;10;10;112;90;
09/02/2022;873;73237;1337;2;17;61867;128107;201361;10;9;112;91;
10/02/2022;184;73421;1338;3;10;62015;128451;201882;10;10;112;91;
11/02/2022;696;74117;1343;1;23;62098;129090;203230;10;9;112;91;
14/02/2022;650;74767;1351;3;31;62115;129637;204435;10;10;112;91;
15/02/2022;510;75277;1352;3;34;62158;130093;205404;10;4;112;94;
17/02/2022;554;78323;1357;2;3;66128;130791;209117;10;10;112;95;
18/02/2022;446;78769;1357;2;7;;131315;210091;10;10;112;92;
21/02/2022;1633;80402;1359;4;7;70510;131852;212261;10;4;112;91;
22/02/2022;171;80573;1361;4;10;71258;132199;212782;10;4;112;91;
23/02/2022;420;80993;1362;1;8;71815;132404;213405;10;10;112;88;
24/02/2022;221;81214;1363;2;2;72018;132726;213942;10;9;112;88;
25/02/2022;178;81392;1365;0;12;72235;132964;214368;10;10;112;75;
02/03/2022;0;81392;1367;1;;;;;;;;;
03/03/2022;23;81415;1370;0;34;73915;133706;215155;10;10;112;72;
04/03/2022;6;81421;1373;0;6;74510;133907;215334;10;9;112;75;
08/03/2022;12;81433;1376;3;3;75815;134071;215507;10;8;75;53;
09/03/2022;10;81443;1378;2;18;76210;134195;215656;10;7;75;52;
10/03/2022;7;81450;1379;1;3;76475;134286;;10;7;75;48;
11/03/2022;3;81453;1381;1;5;76715;134718;216176;10;3;75;46;
